Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,0,0,2,,,0,0,8
4,1,1,24,9,ACCELERATING,false,0,0,0,0,2,,,1,0,12
5,1,1,33,9,NOTHING,false,0,0,0,0,2,,,3,0,20
6,1,1,42,9,NOTHING,false,0,0,0,0,2,,,3,0,20
7,1,1,51,9,NOTHING,false,0,0,0,0,2,,,3,0,20
8,1,1,60,9,NOTHING,false,0,0,0,0,2,,,3,0,20
9,1,1,69,9,NOTHING,false,0,0,0,0,2,,,3,0,20
10,1,1,77,8,HIT_MUD,false,0,1,0,0,3,,,3,0,21
11,1,1,86,9,ACCELERATING,false,0,1,0,0,4,,,3,0,25
12,1,2,94,9,TURNING_RIGHT,false,0,1,0,0,4,,,3,0,25
13,1,2,103,9,NOTHING,false,0,1,0,0,4,,,3,0,25
14,1,3,111,9,TURNING_RIGHT,false,0,1,0,0,4,,,3,1,29
15,1,2,119,3,HIT_MUD,false,0,4,1,0,4,,,3,1,24
16,1,2,122,3,ACCELERATING,false,0,4,1,0,4,,,3,1,24
17,1,2,125,3,ACCELERATING,false,0,4,1,0,4,,,3,2,28
18,1,2,128,3,ACCELERATING,false,0,4,2,0,4,,,3,2,32
19,1,1,130,0,HIT_MUD,false,0,5,2,0,4,,,3,2,29
20,1,1,130,0,ACCELERATING,false,0,5,2,0,4,,,3,2,29
21,1,1,130,0,ACCELERATING,false,0,5,2,0,4,,,3,2,29
22,1,1,130,0,ACCELERATING,false,0,5,2,0,4,,,3,2,29
23,1,1,130,0,ACCELERATING,false,0,5,2,0,4,,,3,2,29
24,1,1,130,0,ACCELERATING,false,0,5,2,0,4,,,3,2,29
25,1,1,130,0,ACCELERATING,false,0,5,2,0,4,,,3,2,29
26,1,1,130,0,ACCELERATING,false,0,5,2,0,4,,,3,2,29
27,1,1,130,0,ACCELERATING,false,0,5,2,0,4,,,3,2,29
28,1,1,130,0,ACCELERATING,false,0,5,2,0,4,,,3,2,29
29,1,1,130,0,ACCELERATING,false,0,5,2,0,4,,,3,2,29
30,1,1,130,0,ACCELERATING,false,0,5,2,0,4,,,3,2,29
31,1,1,130,0,ACCELERATING,false,0,5,2,0,4,,,3,2,29
