Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,1,0,0,,,0,0,4
4,1,1,30,8,HIT_MUD,false,0,2,0,0,0,,,0,0,2
5,1,1,38,8,ACCELERATING,false,0,2,0,0,1,,,0,0,6
6,1,1,46,8,ACCELERATING,false,0,2,0,0,1,,,0,0,6
7,1,1,54,8,ACCELERATING,false,0,2,0,0,1,,,0,0,6
8,1,1,62,8,ACCELERATING,false,0,2,0,0,1,,,1,0,10
9,1,1,70,8,ACCELERATING,false,0,2,0,0,1,,,2,0,14
10,1,1,78,8,ACCELERATING,false,0,2,0,0,1,,,2,0,14
11,1,1,86,8,USED_LIZARD,false,0,2,0,0,0,,,2,0,14
12,1,1,94,3,HIT_MUD,false,0,4,0,0,0,,,2,0,8
13,1,1,97,3,ACCELERATING,false,0,4,0,0,0,,,2,0,8
14,1,1,100,3,ACCELERATING,false,0,4,0,0,0,,,2,0,8
15,1,1,103,3,ACCELERATING,false,0,4,0,0,0,,,2,0,8
16,1,1,106,3,ACCELERATING,false,0,4,0,0,0,,,2,0,8
17,1,1,109,0,HIT_MUD,false,0,5,0,0,0,,,2,0,5
18,1,1,109,0,FIXED_CAR,false,0,3,0,0,0,,,2,0,5
19,1,1,112,3,ACCELERATING,false,0,3,0,0,0,,,2,0,5
20,1,1,118,3,HIT_MUD,false,0,4,0,0,0,,,2,0,2
21,1,1,121,3,ACCELERATING,false,0,4,0,0,0,,,2,0,2
22,1,1,124,0,HIT_MUD,false,0,5,0,0,0,,,2,0,-1
23,1,1,124,0,FIXED_CAR,false,0,3,0,0,0,,,2,0,-1
24,1,1,127,3,ACCELERATING,false,0,3,0,0,0,,,2,0,-1
25,1,1,133,0,HIT_MUD,false,0,5,0,0,0,,,2,0,-7
26,1,1,133,0,FIXED_CAR,false,0,3,0,0,0,,,2,0,-7
27,1,1,136,3,ACCELERATING,false,0,3,0,0,1,,,3,0,1
28,1,1,142,6,ACCELERATING,false,0,3,0,1,1,,,3,0,5
29,1,1,148,6,ACCELERATING,false,0,3,0,1,1,,,3,0,5
30,1,1,154,6,ACCELERATING,false,0,3,0,1,1,,,3,0,5
31,1,1,160,3,HIT_MUD,false,0,4,0,1,0,,,3,0,2
