Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,3,HIT_MUD,false,0,1,0,0,0,,,0,0,-3
3,2,4,13,6,ACCELERATING,false,0,1,0,0,0,,,0,1,1
4,2,4,21,6,HIT_MUD,false,0,2,1,0,0,,,0,1,2
5,2,4,29,8,USED_BOOST,true,5,2,0,0,0,,,0,1,6
6,2,4,37,6,HIT_MUD,false,0,3,0,0,0,,,0,1,3
7,2,4,43,6,ACCELERATING,false,0,3,0,0,0,,,0,1,3
8,2,4,49,6,ACCELERATING,false,0,3,0,0,0,,,0,1,3
9,2,4,55,6,ACCELERATING,false,0,3,0,0,0,,,0,1,3
10,2,4,61,6,ACCELERATING,false,0,3,0,0,0,,,1,1,7
11,2,4,67,6,ACCELERATING,false,0,3,0,0,0,,,1,1,7
12,2,4,73,3,HIT_MUD,false,0,4,1,0,0,,,1,1,8
13,2,4,76,3,ACCELERATING,false,0,4,1,0,0,,,1,1,8
14,2,4,79,0,HIT_MUD,false,0,5,1,0,0,,,1,1,5
15,2,4,79,0,FIXED_CAR,false,0,3,1,0,0,,,1,1,5
16,2,4,82,3,ACCELERATING,false,0,3,1,0,0,,,1,1,5
17,2,4,88,6,ACCELERATING,false,0,3,1,0,0,,,1,1,5
18,2,4,94,6,USED_BOOST,true,5,3,0,0,0,,,1,1,9
19,2,4,100,6,ACCELERATING,true,4,3,0,0,0,,,1,1,9
20,2,4,106,6,ACCELERATING,true,3,3,0,0,0,,,1,1,9
21,2,4,112,6,ACCELERATING,true,2,3,0,0,0,,,1,1,9
22,2,4,118,6,ACCELERATING,true,1,3,1,0,0,,,1,1,13
23,2,4,124,6,USED_BOOST,true,5,3,1,0,0,,,1,1,21
24,2,4,130,0,HIT_WALL,false,0,5,0,0,0,,,1,1,20
25,2,4,130,0,FIXED_CAR,false,0,3,0,0,0,,,1,1,20
26,2,4,133,3,ACCELERATING,false,0,3,0,0,0,,,1,1,20
27,2,4,139,6,ACCELERATING,false,0,3,0,0,0,,,1,1,20
28,2,4,145,6,ACCELERATING,false,0,3,0,0,0,,,1,1,20
29,2,4,151,0,HIT_WALL,false,0,5,0,0,0,,,1,1,15
30,2,4,151,0,FIXED_CAR,false,0,3,0,0,0,,,1,1,15
31,2,4,154,3,ACCELERATING,false,0,3,0,0,0,,,1,1,15
32,2,4,160,3,HIT_MUD,false,0,4,0,0,0,,,1,1,12
33,2,4,163,3,ACCELERATING,false,0,4,1,0,0,,,1,1,16
34,2,4,166,3,ACCELERATING,false,0,4,2,0,0,,,1,1,20
35,2,4,169,3,ACCELERATING,false,0,4,2,0,0,,,1,1,20
36,2,4,172,3,ACCELERATING,false,0,4,2,0,0,,,1,1,20
37,2,4,175,3,ACCELERATING,false,0,4,2,0,0,,,1,1,20
38,2,4,178,0,HIT_MUD,false,0,5,2,0,0,,,1,1,17
39,2,4,178,0,FIXED_CAR,false,0,3,2,0,0,,,1,1,17
40,2,4,181,3,ACCELERATING,false,0,3,2,0,0,,,1,1,17
41,2,4,187,6,ACCELERATING,false,0,3,3,0,0,,,1,1,21
42,2,4,193,0,HIT_MUD,false,0,5,2,0,0,,,1,1,19
43,2,4,193,0,FIXED_CAR,false,0,3,2,0,0,,,1,1,19
44,2,4,196,3,ACCELERATING,false,0,3,2,0,0,,,1,1,19
45,2,4,202,6,ACCELERATING,false,0,3,2,0,0,,,1,1,19
46,2,4,208,3,HIT_MUD,false,0,4,1,0,0,,,1,1,20
47,2,4,211,3,ACCELERATING,false,0,4,1,0,0,,,1,1,20
48,2,4,214,3,ACCELERATING,false,0,4,1,0,0,,,1,1,20
49,2,4,217,3,ACCELERATING,false,0,4,1,0,0,,,1,1,20
50,2,4,220,3,ACCELERATING,false,0,4,1,0,0,,,1,1,20
51,2,4,223,3,ACCELERATING,false,0,4,1,0,0,,,1,1,20
52,2,4,226,3,ACCELERATING,false,0,4,1,0,0,,,1,1,20
53,2,4,229,3,ACCELERATING,false,0,4,1,0,0,,,1,1,20
54,2,4,232,3,ACCELERATING,false,0,4,1,0,0,,,1,2,24
55,2,4,235,3,ACCELERATING,false,0,4,1,0,0,,,1,2,24
56,2,4,238,3,ACCELERATING,false,0,4,1,0,0,,,1,2,24
57,2,4,241,3,ACCELERATING,false,0,4,1,0,0,,,1,2,24
58,2,4,244,3,ACCELERATING,false,0,4,1,0,0,,,1,3,28
59,2,4,247,3,ACCELERATING,false,0,4,1,0,0,,,1,3,28
60,2,4,250,3,ACCELERATING,false,0,4,1,0,0,,,1,3,28
61,2,4,253,3,ACCELERATING,false,0,4,1,0,0,,,1,3,28
62,2,4,256,3,ACCELERATING,false,0,4,1,0,0,,,1,3,28
63,2,4,259,3,ACCELERATING,false,0,4,1,0,0,,,1,4,32
64,2,4,262,3,ACCELERATING,false,0,4,1,0,0,,,1,4,32
65,2,4,265,3,ACCELERATING,false,0,4,1,0,0,,,1,4,32
66,2,4,268,3,ACCELERATING,false,0,4,1,0,0,,,1,4,32
67,2,4,271,3,ACCELERATING,false,0,4,1,0,0,,,1,4,32
68,2,4,274,0,HIT_MUD,false,0,5,1,0,0,,,1,4,29
69,2,4,274,0,FIXED_CAR,false,0,3,1,0,0,,,1,4,29
70,2,4,277,0,HIT_WALL,false,0,5,1,0,0,,,1,4,19
71,2,4,277,0,FIXED_CAR,false,0,3,1,0,0,,,1,4,19
72,2,4,280,3,ACCELERATING,false,0,3,1,0,0,,,1,4,19
73,2,4,286,3,HIT_MUD,false,0,4,1,0,0,,,1,4,16
74,2,4,289,3,ACCELERATING,false,0,4,1,0,0,,,1,4,16
75,2,4,292,3,ACCELERATING,false,0,4,1,0,0,,,1,4,16
76,2,4,295,3,ACCELERATING,false,0,4,1,0,0,,,2,4,20
77,2,4,298,3,ACCELERATING,false,0,4,2,0,0,,,2,4,24
78,2,4,301,3,ACCELERATING,false,0,4,2,0,0,,,2,4,24
79,2,4,304,3,ACCELERATING,false,0,4,2,0,0,,,2,4,24
80,2,4,307,0,HIT_MUD,false,0,5,2,0,0,,,2,4,21
81,2,4,307,0,FIXED_CAR,false,0,3,2,0,0,,,2,4,21
82,2,4,310,0,HIT_MUD,false,0,5,2,0,0,,,2,4,15
83,2,4,310,0,FIXED_CAR,false,0,3,2,0,0,,,2,4,15
84,2,4,313,0,HIT_WALL,false,0,5,2,0,0,,,2,4,10
85,2,4,313,0,FIXED_CAR,false,0,3,2,0,0,,,2,4,10
86,2,4,316,3,ACCELERATING,false,0,3,3,0,0,,,2,4,14
87,2,4,322,6,ACCELERATING,false,0,3,3,1,0,,,2,4,18
88,2,4,328,6,USED_BOOST,true,5,3,2,1,0,,,2,4,22
89,2,4,334,6,USED_BOOST,true,5,3,1,1,0,,,2,4,26
90,2,4,340,6,USED_BOOST,true,5,3,0,1,0,,,2,4,30
91,2,4,346,6,ACCELERATING,true,4,3,0,1,0,,,2,4,30
92,2,4,352,6,ACCELERATING,true,3,3,0,1,0,,,2,4,30
93,2,4,358,3,HIT_MUD,false,0,4,0,2,0,,,2,4,31
94,2,4,361,3,ACCELERATING,false,0,4,0,2,0,,,2,4,31
95,2,4,364,3,ACCELERATING,false,0,4,0,2,0,,,2,4,31
96,2,4,367,3,ACCELERATING,false,0,4,0,2,0,,,2,4,31
97,2,4,370,0,HIT_MUD,false,0,5,0,2,0,,,2,4,28
98,2,4,370,0,FIXED_CAR,false,0,3,0,2,0,,,2,4,28
99,2,4,373,3,ACCELERATING,false,0,3,0,2,0,,,2,4,28
100,2,4,379,6,ACCELERATING,false,0,3,0,2,0,,,3,4,32
101,2,4,385,6,ACCELERATING,false,0,3,0,2,0,,,3,4,32
102,2,4,391,6,ACCELERATING,false,0,3,0,2,0,,,3,4,32
103,2,4,397,6,ACCELERATING,false,0,3,0,2,0,,,3,4,32
104,2,4,403,6,ACCELERATING,false,0,3,0,2,0,,,3,4,32
105,2,4,409,6,ACCELERATING,false,0,3,0,2,0,,,3,4,32
106,2,4,415,6,ACCELERATING,false,0,3,0,2,0,,,3,4,32
107,2,4,421,6,ACCELERATING,false,0,3,0,2,0,,,3,4,32
108,2,4,427,6,ACCELERATING,false,0,3,0,2,0,,,3,4,32
109,2,4,433,6,ACCELERATING,false,0,3,0,2,0,,,3,4,32
110,2,4,439,6,ACCELERATING,false,0,3,0,2,0,,,3,4,32
111,2,4,445,6,ACCELERATING,false,0,3,0,2,0,,,3,4,32
112,2,4,451,3,HIT_MUD,false,0,4,0,3,0,,,3,4,33
113,2,4,454,3,ACCELERATING,false,0,4,0,3,0,,,3,4,33
114,2,4,457,3,ACCELERATING,false,0,4,0,3,0,,,3,4,33
