Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,0,0,0,,,0,0,0
4,1,1,24,8,HIT_MUD,false,0,1,0,0,1,,,0,0,1
5,1,1,33,9,ACCELERATING,false,0,1,0,0,1,,,1,1,9
6,1,1,42,9,ACCELERATING,false,0,1,0,0,1,,,1,1,9
7,1,1,51,9,ACCELERATING,false,0,1,0,0,1,,,1,1,9
8,1,1,60,9,ACCELERATING,false,0,1,0,0,1,,,1,1,9
9,1,1,69,9,ACCELERATING,false,0,1,0,0,1,,,1,1,9
10,1,1,78,9,ACCELERATING,false,0,1,0,1,1,,,1,1,13
11,1,1,87,9,ACCELERATING,false,0,1,0,1,1,,,1,2,17
12,1,1,96,9,USED_LIZARD,false,0,1,0,1,0,,,1,2,17
13,1,1,105,8,HIT_MUD,false,0,2,1,1,0,,,1,2,18
14,1,1,113,8,ACCELERATING,false,0,2,1,1,0,,,1,2,18
15,1,1,121,6,HIT_MUD,false,0,3,0,1,0,,,1,2,19
16,1,1,126,3,HIT_MUD,false,0,4,0,1,0,,,1,2,16
17,1,1,129,3,ACCELERATING,false,0,4,0,1,0,,,1,2,16
18,1,1,132,3,ACCELERATING,false,0,4,0,1,0,,,1,2,16
19,1,1,135,3,ACCELERATING,false,0,4,0,1,0,,,2,2,20
20,1,1,138,3,ACCELERATING,false,0,4,0,1,0,,,2,2,20
21,1,1,141,3,ACCELERATING,false,0,4,0,1,0,,,2,2,20
22,1,1,144,3,ACCELERATING,false,0,4,0,1,0,,,2,2,20
23,1,1,147,3,ACCELERATING,false,0,4,1,1,0,,,2,2,24
24,1,1,150,3,ACCELERATING,false,0,4,1,1,0,,,2,2,24
25,1,1,153,3,ACCELERATING,false,0,4,1,1,0,,,3,2,28
26,1,1,156,3,USED_BOOST,true,5,4,0,1,0,,,3,2,32
27,1,1,159,3,ACCELERATING,true,4,4,0,1,0,,,3,2,32
28,1,1,162,0,HIT_MUD,false,0,5,0,1,0,,,3,2,29
29,1,1,162,0,FIXED_CAR,false,0,3,0,1,0,,,3,2,29
30,1,1,165,3,ACCELERATING,false,0,3,0,1,0,,,4,2,33
31,1,1,171,6,ACCELERATING,false,0,3,0,1,0,,,4,2,33
